001,Author,lifetime, Title,Publication Year,Number of Pages,press,Questionnaires,Genre ID unclear,Extracted Book Name,delete duplicate
990012296710205171,"א""ש ",,"ראיתי את השמים מחייכים /, א""ש.",1992,96,סער ,,,ראיתי את השמים מחייכים   ,
990041027300205171,"א. ה. הונזה , ",,"רוח על פני תהום /, א.ה. הונזה ; עורך הספר: חיים פסח.",2017,"122 , 3  לא ממוספרים  ",עולם חדש הוצאה לאור ,,,רוח על פני תהום  ,
990036514510205171,"א. ה. הונזה , ",,"והשמים צלולים מעל /, א.ה. הונזה ; עורך ספרותי: רן זיו.",2013,191,סטימצקי הוצאה לאור ,,,והשמים צלולים מעל  ,
990017331020205171,"א., c(מרגל) ",,"עובר כל גבול /, מאת א'.",1995,246,כתר ,,,עובר כל גבול  ,
990020500620205171,"א., c(מרגל) ",,"מרגל של אחד באפריל /, מאת א.",2000,256,כתר ,,,מרגל של אחד באפריל  ,
990040864800205171,"א., ליאו , ",,"המלחמה השלישית /, ליאו א.",2017,221,סטימצקי - הוצאה לאור ,,,המלחמה השלישית  ,
990043638980205171,"אבגי-כהן, גלית ","1969- , ","אם את כותבת אל תמחקי  יומן אהבה, יומן מחלה /, גלית אבגי כהן ; עריכה: טל איפרגן.",2017,164,ספרי ניב ,,,"אם את כותבת אל תמחקי  יומן אהבה, יומן מחלה  ",
990010627250205171,"אבגי, אתי ",,רסן האהבה.,1978,120,אוניפרס ,,,רסן האהבה.,
9.90017E+17,"אבו גוש, אוסאמה ",,"כיהודי בין יהודים  סיפור אהבה /, אוסאמה אבו גוש.",1995,152,המרכז לחקר החברה הערבית בישראל ,,,כיהודי בין יהודים  סיפור אהבה  ,
9.90017E+17,"אבו סעדה, אמיר ",,"אצבעות שבורות /, אמיר אבו סעדה ; עריכה - מיקי כץ.",2013,589,אופיר ביכורים ,,,אצבעות שבורות  ,
990047938710205171,"אבוטבול, אדונירם ","1964- , ","דניאל /, אדונירם אבוטבול.",2018,"443 , 4  לא ממוספרים  ",ספרי ניב ,,,דניאל  ,
990010621400205171,"אבולעפיה, אברהם ",,"יפה נוף  סיפור אהבה /, א. אבולעפיה.",1971,184,נתיב ,,,יפה נוף  סיפור אהבה  ,
990010621410205171,"אבולעפיה, אברהם ",,"נוה-רם  סיפור אהבה /, א. אבולעפיה.",1972,194 ע  ,נתיב ,,,נוה-רם  סיפור אהבה  ,
990047258550205171,"אבי-יוד, רון , ",,"פליטים /, רון אבי-יוד ; עריכה: נועה לקס.",2018,144,רוני סגל ,,,פליטים  ,
990012241640205171,"אבי סער, עמנואל ",,"מעבר לחדלון /, ע. אבי-סער.",1992,"6, 76   ",מוציא לאור לא ידוע ,,,מעבר לחדלון  ,
990010621490205171,"אבי שאול, מרדכי ",1898-1988 ,"המלך קאראקאש ושאר אירועי חולין /, מ. אבי-שאול.",1965,"186, 3   ",מחר ,,,המלך קאראקאש ושאר אירועי חולין  ,
990010621460205171,"אבי שאול, מרדכי ",1898-1988 ,"גילגולים שווייצריים /, מרדכי אבי-שאול.",1963,153,אוגדן ,,,גילגולים שווייצריים  ,
990010636040205171,"אבי שאול, מרדכי ",1898-1988 ,"קברים לי  סיפור /, מאת מרדכי אבי-שאול.",1968,141 .,מחר ,,,קברים לי  סיפור  ,
990010636060205171,"אבי שב""י מאור, יחזקאל ",1914-1995 ,"הסיפור הקצר על המוות הארוך /, י. אבי-שב""י מאור ; (רישומים ועטיפה הגר עמרני).",1978,272,משרד הביטחון - ההוצאה לאור ,,,הסיפור הקצר על המוות הארוך  ,
990027297300205171,"אביב, זוהר ",1962- ,"פרידה /, זוהר אביב ; איורים - נורית צרפתי ; עריכה - נאוה צלר.",2010,143,מודן ,,,פרידה  ,
990022010170205171,"אביב, יצחק ",1954- ,"הסכם עריכה /, יצחק אביב.",2002,264,חלונות ,,,הסכם עריכה  ,
990034738260205171,"אביב, יצחק ",1954- ,"מיליון וחצי אירו /, איציק אביב.",2012,288,חממה ספרותית ,,,מיליון וחצי אירו  ,
990043923360205171,"אביב, מני ","1971- , ","קללתו של ארוס  רומן /, מאת מני אביב ; עריכת לשון: רסל דיקשטיין.",2017,"370 , 1 עמוד לא ממוספר  ",מני אביב ,,,קללתו של ארוס  רומן  ,
