Identifier,Title,NLI 1,NLI 2,Name of Author,Sex of Author,Year of Publication,Publisher,Number of Pages,Sub-Genre,Division within the Novel,Typical Chapter Length,Excerpts of Other Genres,Division to Paragraphs on a Typical Page,Type of Narrator,Role of Narrator in the Plot,"Narrator's Gender, Age, Religion",Characters in the Novel,Communication in the Novel,Number of Plot-lines,Novel's Exposition,Key Events,Fillers,Other Languages Used,The Bodies of Texts to which the Novel Reffers,Readability,Chronological Scope of the Novel,Main Epoch(s),Main Space(s),Main Geographical Location(s),Names of Places in the Novel,"Centrality of Israel (State, Land)",Themes,Centrality of Love,Type of Love,Intergenerational Relationships,Centrality of war,Which War,Death,Grammatical Tense
KR.Books.0000,2020,,,חמוטל שבתאי,נקבה,1997,כתר,638,"דיסטופיה, מדע בדיוני",הרומן מחולק לחלקים/שערים/כרכים,קשה להגדיר,לא,"הטקסט מופיע כגוש אחד, ללא פסקאות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, טלפון",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,2,שנה עד עשור,"המאה ה-21, העתיד","חדר, דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיר",צפון אמריקה (ארצות הברית וקנדה),ניו יורק,לא מופיעה ברומן כלל,"אהבה, נישואין, חתונה, מצוקה גופנית, מחלה, בתי חולים, בתי אבות, מוסדות טיפוליים, בתי משפט, בתי כלא, מוסדות חוק ואכיפה, מוסר (אתיקה, שאלות מוסריות), גאולה (אישית, לאומית, אוניברסלית), מיניות, זהות מינית, יחסי מין, מדע, טכנולוגיה",מרכזית,אהבה הגוברת על מכשולים לקראת מימוש מוצלח,יחסים בין דוריים אינם מרכזיים ברומן,אין מלחמה ברומן,,"מחלה, רצח",עבר
KR.Books.0001,2020,,,חמוטל שבתאי,נקבה,1997,כתר,638,דיסטופיה,הרומן מחולק לחלקים/שערים/כרכים,ארוכות מאוד (שלושים ואחד עמודים ומעלה),"לא, כן, שירים","הטקסט מופיע כגוש אחד, ללא פסקאות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, טלפון",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"תיאורי נוף, דמויות ואווירה, תיאורים של העולם הדיסטופי, ההתנהלות המוסדית במסגרתו והמוסכמות החברתיות",אנגלית,,3,חודשיים עד אחד-עשר חודשים,המאה ה-21,"דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), התושבים נמצאים באזורים לפי מצב בריאותם: ""התחום הבריא"" לבריאים או ""מרכזי ריפוי""/""מושבות"" לחולים",צפון אמריקה (ארצות הברית וקנדה),ניו יורק,לא מופיעה ברומן כלל,"אהבה, גירושין, סוף החיים, מוות, מצוקה גופנית, מחלה, בתי חולים, בתי אבות, מוסדות טיפוליים, אלימות פיסית, מילולית, מנטאלית, פשע (רצח, שוד, וכו'), בתי משפט, בתי כלא, מוסדות חוק ואכיפה, דתיות ורוחניות (במובן של רליגיוזיות, אמונה פנימית), מוסר (אתיקה, שאלות מוסריות), נקמה, גאולה (אישית, לאומית, אוניברסלית), משיחיות, מלחמה, מדע, טכנולוגיה, שינויי אקלים",מרכזית,אהבה הגוברת על מכשולים לקראת מימוש מוצלח,יחסים בין דוריים אינם מרכזיים ברומן,מרכזית,"מדובר על מלחמה עתידית בין צבא ארה""ב לבין מדינות אחרות שיכולות לסכן אותה בהדבקה במחלה",מחלה,הווה
KR.Books.0002,24 דלתות,,,גיל חובב,זכר,2015,"מודן, קרפד",296,"רומן אוטוביוגרפי, יש מקום לספק אם אכן זהו רומן",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),בסוף כל פרק יש מתכון רלוונטי,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא אחת מן הדמויות המרכזיות בעלילה,גבר,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים, מכתבים ומברקים",הרומן בנוי מסיפורים קצרים,אין חומריים אקספוזיציוניים כלל (ללא רקע והסברים על הדמויות והנושאים שברומן),קשה להגדיר,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה","אנגלית, ספרדית, ערבית, לדינו","תנ""ך, ספרות חז""ל (משנה, תלמוד, מדרש), ספרות רבנית; ספרות קבלה וחסידות, ספרות עברית ימי-ביניימית (פיוט, שירת תור הזהב, ספרות המקאמות וכו'), ספרות עברית מתקופת ההשכלה ו/או התחייה, ספרות מערבית (אנגלית, צרפתית, גרמנית, רוסית, איטלקית...) מודרנית (מהמאה ה- 19 ועד ימינו)",1,שנה עד עשור,המחצית השניה של המאה ה-20,"דירה, בית מגורים","ישראל (ארץ, מדינה)",ירושליים,מרכזית,"אהבה, נישואין, חתונה, גירושין, ילדות, התבגרות, משפחה, יחסים בין-דוריים, ציונות, עוני ועושר, ספרות וכתיבה",שולית,אהבה הגוברת על מכשולים לקראת מימוש מוצלח,"אמהות-בנות, סבתות-נכדים",שולית,ששת הימים,המוות אינו מרכזי ברומן,עבר
KR.Books.0003,8000 מיל מתחת למות,990020075910205171,,י. מעוז,לא ידוע,--,ספרית החבריא,143 (לא סופי),ספר מתח,הרומן מחולק לחלקים/שערים/כרכים,בינוניות (אחד-עשר עד עשרים עמודים),לא,"הטקסט מופיע כגוש אחד, ללא פסקאות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים, קשר צבאי ושידורי רדיו מוצפנים ולא מוצפנים",כן,אין חומריים אקספוזיציוניים כלל (ללא רקע והסברים על הדמויות והנושאים שברומן),בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה","אנגלית, נחום שולט בשפות רבות ומתחזה. מדבר אנגלית, איטלקית, גרמנית ועוד. כולן מיוצגות בתרגום לעברית (לא בתעתיק או בכתיב זר)",,1,חודשיים עד אחד-עשר חודשים,"המחצית הראשונה של המאה ה-20, בזמן מלחמת העולם השנייה","כלי תחבורה (למשל: מכונית, אוטובוס, משאית, מטוס, חללית וכו'), ים, אגם, נהר, אי, יש שני פרקים במטוס ועוד שניים בצוללת.","ישראל (ארץ, מדינה), צפון אפריקה, מערב אירופה, סקנדינביה וחצי האי האיברי","תל אביב, קהיר, הים התיכון. תיאורי המרחב כלליים מאוד.",מרכזית,"אהבה, ציונות, יחסי יהודים - לא-יהודים, מלחמה",שולית,"אהבה הגוברת על מכשולים לקראת מימוש מוצלח, נחום אוהב את רינה ואורג אליה במסעות הריגול שלו. האהבה לא מקבלת נפח משמעותי, אבל היא משמעותית מאוד לגיבור",יחסים בין דוריים אינם מרכזיים ברומן,מרכזית,מלחמת העולם השנייה,המוות אינו מרכזי ברומן,עבר
KR.Books.0004,"אבא, בן, סבתא דינה",,,יוסף בר יוסף,זכר,2020,הספריה החדשה,180,סאגה משפחתית,הרומן מחולק לחלקים/שערים/כרכים,ארוכות (עשרים ואחד עד שלושים עמודים),לא,"הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא אחת מן הדמויות המרכזיות בעלילה,"גבר, יהודי.ה",שלוש דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אין חומריים אקספוזיציוניים כלל (ללא רקע והסברים על הדמויות והנושאים שברומן),בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,כמה עשורים,המחצית השניה של המאה ה-20,עיר,"ישראל (ארץ, מדינה)","ירושלים, מאה שערים",שולית,"אהבה, נישואין, חתונה, גירושין, משפחה, יחסים בין-דוריים, מצוקה נפשית, דתיות ורוחניות (במובן של רליגיוזיות, אמונה פנימית), שואה, משיחיות, פיוס והשלמה",מרכזית,קשה להגדיר,"אבות-בנים, אמהות-בנים, סבתות-נכדים",שולית,מלחמת יום הכיפורים,תאונה,עבר
KR.Books.0005,אבדות,,,לאה גולדברג,נקבה,2010,ספריית פועלים,314,"רומן היסטורי, רומן מלחמה, רומן פסיכולוגי",הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קצרות (שלושה עד עשרה עמודים),לא,"הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים, דיאלוגים מדומיינים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'","אנגלית, רוסית, גרמנית, יידיש",,2,שנה עד עשור,המחצית הראשונה של המאה ה-20,"עיר, כפר, קיבוץ","ישראל (ארץ, מדינה), מערב אירופה, סקנדינביה וחצי האי האיברי, מזרח אירופה ורוסיה",ברלין,מרכזית,"אהבה, נישואין, חתונה, גירושין, הלוויה, שבעה, סוף החיים, מוות, משפחה, מצוקה נפשית, יהדות, ציונות, תלישות, הגירה, שואה, מסעות, נדודים, טיולים, ספרות וכתיבה, השכלה (לימודים)",מרכזית,"אהבה נכזבת, אהבה שנעה לקראת כשלון והתפרקות, אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש",יחסים בין דוריים אינם מרכזיים ברומן,מרכזית,"הרומן לא מתרחש בתקופת מלחמה, אלא בתקופה של לפני מלחמת העולם השנייה והרמזים לקראתה.","מחלה, מוות במלחמה, רצח, רצח בשואה",הווה
KR.Books.0006,אבישג,990011463710205171,"שיץ, דוד ",דוד שיץ,זכר,1989,כתר,253,"סאגה משפחתית, רומן פסיכולוגי",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,שנה עד עשור,המחצית השניה של המאה ה-20,"חדר, דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיר","ישראל (ארץ, מדינה)",ירושלים,שולית,"אהבה, נישואין, חתונה, גירושין, ילדות, התבגרות, שיגעון, יחסים בין-דוריים, מצוקה גופנית, מחלה, מצוקה נפשית, בתי חולים, בתי אבות, מוסדות טיפוליים, יהדות, הגירה, מסעות, נדודים, טיולים, צה""ל, מיניות, זהות מינית, יחסי מין",מרכזית,"אהבה נכזבת, אהבה שנעה לקראת כשלון והתפרקות","אבות-בנות, אמהות-בנות, חם-חתן, חמות-חתן",אין מלחמה ברומן,,התאבדות,עבר
KR.Books.0008,אבישג,990011463710205171,"שיץ, דוד ",דוד שיץ,זכר,1989,כתר,214,רומן פסיכולוגי,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",קשה להכריע,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,כמה עשורים,המחצית השניה של המאה ה-20,"דירה, בית מגורים, עיר","ישראל (ארץ, מדינה)",ירושלים,מרכזית,"אהבה, נישואין, חתונה, ילדות, התבגרות, משפחה, יחסים בין-דוריים, מצוקה נפשית, מיניות, זהות מינית, יחסי מין",מרכזית,אהבה שנעה לקראת כשלון והתפרקות,"אבות-בנות, אמהות-בנות",אין מלחמה ברומן,,התאבדות,עבר
KR.Books.0010,אבל הלילה עוד צעיר,990050544120205171,"אלקיים, ליאת , ",ליאת אלקיים,נקבה,2019,"כנרת, זמורה ביתן",364,אינני יודע.ת,הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קשה להגדיר,לא,הטקסט מחולק לפסקאות ספורות,מספרים מתחלפים,,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",שלוש עלילות שכמעט ולא משתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,אנגלית,,1,שנה עד עשור,המאה ה-21,"מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיר","ישראל (ארץ, מדינה), מערב אירופה, סקנדינביה וחצי האי האיברי",תל אביב,שולית,"נישואין, חתונה, משפחה, יחסים בין-דוריים, בתי חולים, בתי אבות, מוסדות טיפוליים, צרכנות, מיניות, זהות מינית, יחסי מין, מדע, טכנולוגיה, תרבות המועדונים, סמים",מרכזית,קשה להגדיר,אמהות-בנות,אין מלחמה ברומן,,המוות אינו מרכזי ברומן,זמנים דקדוקיים מעורבים
KR.Books.0011,אבן על פי הבאר,,,נתן שחם,זכר,1956,ספריית פועלים,536,"רומן היסטורי, רומן חברתי",הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קצרות (שלושה עד עשרה עמודים),לא,"הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שלוש דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'","ערבית, יידיש",,1,שנה עד עשור,המחצית הראשונה של המאה ה-20,"אוהל, צריף, דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), רחוב, כביש, דרך, שביל, קיבוץ, איזור טבעי או חקלאי (למשל: יער, מדבר, שדה), תיאורי מרחב כלליים","ישראל (ארץ, מדינה)","תל אביב, יפו, דגניה, גליל, ירושלים",מרכזית,"נישואין, חתונה, התבגרות, משפחה, יחסים בין-דוריים, ציונות, פערים מעמדיים, מוסר (אתיקה, שאלות מוסריות), יחסי ערבים-יהודים, הגירה, גאולה (אישית, לאומית, אוניברסלית), מלחמה, פוליטיקה",שולית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,"אבות-בנים, אמהות-בנים",שולית,מלחמת העולם הראשונה,מוות במסגרת מאורעות בין יהודים לערבים בגליל וביפו,עבר
